,Auteur,Identifiant auteur,Titre,Directeur de these,Directeur de these (nom prenom),Identifiant directeur,Etablissement de soutenance,Identifiant etablissement,Discipline,Statut,Date de premiere inscription en doctorat,Date de soutenance,Year,Langue de la these,Identifiant de la these,Accessible en ligne,Publication dans theses.fr,Mise a jour dans theses.fr,Discipline_prÃ©di,Genre,etablissement_rec,Langue_rec
3967,Pierre Rogez,,Culture populaire et imaginaire collectif : praxis de la memoire dans les creations sceniques contemporaines,Amos Passing Fergombe,Passing Fergombe Amos,35455462,Artois,34634894,"Arts : esthetique, pratique et theories",enCours,06-01-14,,,na,s100699,non,09-01-14,04-04-16,Biologie,male,Université d'Artois,NA
3968,Abderrahman Allwaiheg,,Les Relations Franco-Saoudiennes de 2005 jusqu'a ce jour,Serge Sur,Sur Serge,27151824,Paris 2,26403145,Droit international,enCours,01-10-13,,,na,s100757,non,10-01-14,04-04-16,Droit et Science Politique,unknown,Université Panthéon-Assas,NA
3969,Salim Makhoul,,Proton Transfer Reaction Mass Spectrometry (PTRMS) for the study of the aromatic potential of bakery starter strains,"Jean Guzzo,Hanna El nakat","Guzzo Jean,El nakat Hanna",na,Dijon,02819005X,"Sciences agronomiques, biotechnologies agro-alimentaires",enCours,08-01-14,18-01-16,2016.0,na,s100774,non,10-01-14,17-02-16,Biologie,male,Université de Bourgogne,NA
3970,Leo FARCY CALLON (Farcy),,"La prise en charge sociopenale des mineurs : modalites institutionnelles, professionnelles et pratiques",Philip Milburn,Milburn Philip,53462955,Rennes 2,54447658,Sociologie,enCours,05-12-13,,,na,s100809,non,10-01-14,10-01-14,SHS,male,Université Rennes 2,NA
3971,Jorge luiz Gonzaga vieira,,Textes mediatiques et representation identitaire : une reinterpretation de l'imaginaire des peuples indigenes du sertao de l'Alagoas,Philippe Walter,Walter Philippe,na,Grenoble,30327202,Arts,enCours,,17-11-14,2014.0,na,s100928,non,13-01-14,22-07-15,Biologie,male,Université Grenoble Alpes,NA
3972,Kahina Hamami (Azzegag),,"L'evaluation des effets d'une didactisation de la pluralite (socio) linguistique dans le developpement des competences langagieres : criteres, dispositifs, enjeux.","Philippe Blanchet,Nabila Benhouhou","Blanchet Philippe,Benhouhou Nabila",28594533,Rennes 2,54447658,Sciences du langage,enCours,01-10-13,,,na,s100927,non,13-01-14,31-03-14,Langues et Litteratures,unknown,Université Rennes 2,NA
3973,Abdelmadjid Yesref,,Virginia Woolf et la Physique Quantique,Christine Reynier,Reynier Christine,na,Montpellier 3,26404702,Langues et litteratures etrangeres,enCours,03-10-13,,,na,s100953,non,13-01-14,28-01-14,Langues et Litteratures,unknown,Université Paul-Valéry - Montpellier 3,NA
3974,Marina Lesouef,,"Les mises en discours de l'intime dans l'oeuvre de Rafael Chirbes, Alfons Cervera et Manuel Vicent",Jean-francois Carcelen,Carcelen Jean-francois,na,Montpellier 3,26404702,Langues et litteratures etrangeres,enCours,13-01-14,,,na,s100955,non,13-01-14,29-05-15,Langues et Litteratures,female,Université Paul-Valéry - Montpellier 3,NA
3975,Patricia Rydzok,,Coaching en oragnisation(s) : entre intervention et mediation.,Denis Benoit,Benoit Denis,na,Montpellier 3,26404702,Sciences de l'information et de la communication,enCours,13-01-14,,,na,s100956,non,13-01-14,17-03-14,SHS,female,Université Paul-Valéry - Montpellier 3,NA
3976,Annie laure Delhaye (Wanaverbecq),,"Pesti Naplo, kepes mumelleklet, un magazine photographique hongrois 1924-1939. Etude du supplement hebdomadaire consacre a la photographie du quotidien hongrois Pesti Naplo.",Michel Frizot,Frizot Michel,na,Paris 1,27361802,Histoire de l'art,enCours,09-12-99,24-02-14,2014.0,na,s100957,non,13-01-14,06-03-14,SHS,female,Université Paris 1 - Panthéon Sorbonne,NA
3977,Michael Kambangoye lendoye,,politiques et strategies de mobilite internationale des salaries: Etudes de cas des entreprises gabonaises,Jean michel Plane,Plane Jean michel,na,Montpellier 3,26404702,Sciences de gestion,enCours,13-01-14,,,na,s100960,non,13-01-14,13-01-14,Economie Gestion,male,Université Paul-Valéry - Montpellier 3,NA
3978,Charlotte Maurice,,Pratiques ethique et philosophique des pythagoriciennes.,Brigitte Perez,Perez Brigitte,na,Montpellier 3,26404702,Langues et litteratures anciennes,enCours,12-11-13,,,na,s100961,non,13-01-14,15-03-14,Langues et Litteratures,female,Université Paul-Valéry - Montpellier 3,NA
3979,Anouk Mathieu,,"Historiographie de l'archeologie languedocienne du XXeme siecle. Odette et Jean Taffanel : portraits de chercheurs, portrait d'une discipline",Eric Gailledrat,Gailledrat Eric,na,Montpellier 3,26404702,"Archeologie, ethnologie, prehistoire",enCours,31-10-13,,,na,s100962,non,13-01-14,24-01-14,SHS,female,Université Paul-Valéry - Montpellier 3,NA
3980,Xin Ouyang,,Une etude sur la traduction des oeuvres filmiques chinoises contemporaines,Marion Poirson,Poirson Marion,na,Montpellier 3,26404702,"Arts plastiques, musicologie",enCours,11-10-13,,,na,s100963,non,13-01-14,26-09-14,SHS,andy,Université Paul-Valéry - Montpellier 3,NA
3981,Lalaina Razanamandimby,,"Le telephone portable bas de gamme a Madagascar : entre humour, ironie, pratique des objets dusage et appropriation des TIC","Catherine Loneux,Jean Jules Harijaona","Loneux Catherine,Harijaona Jean Jules","952,767,181",Rennes 2,54447658,Sciences de l'information et de la communication,enCours,01-10-13,,,na,s101037,non,14-01-14,09-09-14,SHS,unknown,Université Rennes 2,NA
3982,Yannick Cogo,,Bibliotheque d'une elite grecque en diaspora : Le catalogue de mes livres de Nicolas Yemeniz.,Constantin Angelopoulos,Angelopoulos Constantin,na,Montpellier 3,26404702,Langues et litteratures etrangeres,enCours,18-10-13,,,na,s101044,non,14-01-14,14-01-14,Langues et Litteratures,male,Université Paul-Valéry - Montpellier 3,NA
3983,Alain Alquier,,L'occupation allemande dans le departement de l'Herault : 11 novembre 1942 - 23 aout 1944.,Jean-francois Muracciole,Muracciole Jean-francois,na,Montpellier 3,26404702,"Histoire, histoire de l'art et archeologie",enCours,23-10-13,,,na,s101045,non,14-01-14,01-04-14,SHS,male,Université Paul-Valéry - Montpellier 3,NA
3984,Juliette Augerot,,"Patrimonialisation et nouvelles dynamiques territoriales en Asie du sud-est dans les sites inscrits sur la liste ""patrimoine de l'humanite"".","Dominique Crozat,Christophe Pottier","Crozat Dominique,Pottier Christophe",na,Montpellier 3,26404702,Geographie,enCours,22-11-13,,,na,s101046,non,14-01-14,13-05-14,SHS,female,Université Paul-Valéry - Montpellier 3,NA
3985,Virgine Philippe,,Relire les transitions iberiques a l'aune du petit ecran,"Luc Capdevila,Xose Manoel Nunez Seixas","Capdevila Luc,Nunez Seixas Xose Manoel","504,268,500",Rennes 2,54447658,Histoire moderne et contemporaine,enCours,01-09-13,,,na,s101076,non,15-01-14,25-03-14,SHS,unknown,Université Rennes 2,NA
3986,Yann Bergeault,,"La Nation et la citoyennete : une production sociale complexe. Analyse comparee du rapport a lAutre, le cas de la France et de lItalie pendant la guerre de Libye de 2011.",Ali Ait Abdelmalek,Ait Abdelmalek Ali,03370791X,Rennes 2,54447658,Sociologie,enCours,01-10-13,,,na,s101077,non,15-01-14,05-04-16,SHS,male,Université Rennes 2,NA
3987,Alessandro Monachello,,LA METAPHORE DANS LES TEXTES LITTERAIRES FRANCAIS TRADUITS PAR GESUALDO BUFALINO EN ITALIEN : ETUDE COGNITIVE ET PSYCHOMECANIQUE.,Laurent Perrin,Perrin Laurent,na,Paris Est,190456396,Sciences du langage,enCours,14-01-14,,,na,s101080,non,15-01-14,11-02-16,Langues et Litteratures,male,Université Gustave Eiffel,NA
3988,Samir Ghezlaoui,,"Linteraction entre les reseaux sociaux numeriques et lopinion publique durant la crise sociopolitique en Tunisie, 17 decembre 2010-14 janvier 2011,",Jean-Luc Bouillon,Bouillon Jean-Luc,53301730,Rennes 2,54447658,Sciences de l'information et de la communication,enCours,01-10-13,,,na,s101098,non,15-01-14,08-10-14,SHS,male,Université Rennes 2,NA
3989,Wessal Malval (Laamech),,"Imaginaire de l'Autre et ecriture de l'alterite : les refus litteraires des stereotypes, d'Isabelle Eberhardt aux romans francophones contemporains mettant en scene l'espace romain.",Jean-Jacques Tatin-Gourier,Tatin-Gourier Jean-Jacques,29775248,Tours,26404478,Lettres Modernes,enCours,26-11-13,,,na,s101144,non,16-01-14,04-04-16,Langues et Litteratures,unknown,Université de Tours,NA
3990,Abderahim Mahamat Nadjib,,Evaluation des connaissances et des comportements des parents sur la vaccination contre la poliomyelite au Tchad.,Emmanuel Rusch,Rusch Emmanuel,na,Tours,26404478,Sciences de la vie et de la sante,enCours,06-12-13,,,na,s101152,non,16-01-14,16-01-14,Biologie,unknown,Université de Tours,NA
3991,Roberta Capotorti,,"Reception de Proust chez les ecrivains italiens : les cas de Tomasi Di Lampedusa, Moravia, Saba, Bassani, Piperno.",Philippe Chardin,Chardin Philippe,na,Tours,26404478,Litterature Francaise,enCours,06-01-14,,,na,s101153,non,16-01-14,16-01-14,Langues et Litteratures,female,Université de Tours,NA
3992,Mathilde Chesseron,,Parentalite et precarite,Alain Ducousso-Lacaze,Ducousso-Lacaze Alain,94329494,Poitiers,26403765,Psychologie,enCours,29-10-12,,,na,s101216,non,16-01-14,05-04-16,Psychologie,female,Université de Poitiers,NA
3993,Marion Gloumeaud,,Abydos,Frederic Servajean,Servajean Frederic,na,Montpellier 3,26404702,"Histoire, histoire de l'art et archeologie",enCours,01-11-13,,,na,s101243,non,16-01-14,16-01-14,SHS,female,Université Paul-Valéry - Montpellier 3,NA
3994,Carole Pampoulie,,L'evolution des liens qu'entretient le proche avec la personne atteinte d'un cancer,"Pascal-Henri Keller,Dolores Albarracin","Keller Pascal-Henri,Albarracin Dolores",35071842,Poitiers,26403765,Psychologie,enCours,21-11-05,,,na,s101263,non,17-01-14,04-04-16,Psychologie,female,Université de Poitiers,NA
3995,Rodolphe Deneubourg,,Collaborations et collaborateurs dans la zone interdite de 1939 a 1944 (departements du Nord et du Pas-de-Calais) : une poignee de miserables?,"Michel-Pierre Chelini,Jean-Francois Condette","Chelini Michel-Pierre,Condette Jean-Francois",86451979,Artois,34634894,Histoire contemporaine,enCours,15-01-14,,,na,s101267,non,17-01-14,22-09-14,SHS,male,Université d'Artois,NA
3996,Manon Riviere,,Etude de la souffrance psychique medicalisee : le cas des antidepresseurs,Pascal-Henri Keller,Keller Pascal-Henri,35071842,Poitiers,26403765,Psychologie,enCours,15-09-12,,,na,s101268,non,17-01-14,04-04-16,Psychologie,female,Université de Poitiers,NA
3997,Marie Selin,,Phenomenes de corps dans l'autisme,Jean-Claude Maleval,Maleval Jean-Claude,27003965,Rennes 2,54447658,Psychopatologie,enCours,01-10-13,,,na,s101292,non,17-01-14,04-04-16,Biologie,female,Université Rennes 2,NA
3998,Audrey Jacquet,,L'autorite parentale questionnee du point de vue des sciences humaines,Jean-Claude Quentel,Quentel Jean-Claude,32108044,Rennes 2,54447658,Sciences du langage,enCours,01-10-13,,,na,s101326,non,17-01-14,05-04-16,Langues et Litteratures,female,Université Rennes 2,NA
3999,Baye Mor Lo,,Les reformes des finances depuis 2005 : outil de contribution a la performance et a l'efficacite de gestion des finances publiques au sein de l'UEMOS,Franck Waserman,Waserman Franck,na,Littoral,30969379,Sciences Juridiques,enCours,01-10-13,,,na,s101328,non,17-01-14,17-01-14,Droit et Science Politique,unknown,Université du Littoral Côte dOpale,NA
4000,Sylvie Sanmartin,,Corps et Affect dans les fonctionnements psychiques limites,Solange Carton,Carton Solange,na,Montpellier 3,26404702,Psychologie,enCours,17-01-14,,,na,s101335,non,18-01-14,17-01-14,Psychologie,female,Université Paul-Valéry - Montpellier 3,NA
4001,Lena Bourgeois,,"Defendre l'indefendable : l'argumentation rhetorique en faveur d'Helene a l'epoque classique, enjeux techniques et politiques",Fabienne Blaise,Blaise Fabienne,56778694,Lille 3,26404524,Langues et litterature anciennes,enCours,01-12-13,,,na,s101429,non,20-01-14,03-04-16,Langues et Litteratures,female,Université de Lille,NA
4002,Elodie Carrera,,Litterature et metalitterature chez Andres Neuman. Un ecrivain entre deux rives,Paul-Henri Giraud,Giraud Paul-Henri,69324328,Lille 3,26404524,Litterature espagnole,enCours,01-12-13,,,na,s101436,non,20-01-14,03-04-16,Langues et Litteratures,female,Université de Lille,NA
4003,Francois Coadou,,Depassement de l'art et critique du spectacle dans l'uvre de Guy Debord (1952-1967),Philippe Sabot,Sabot Philippe,55755151,Lille 3,26404524,Philosophie,enCours,01-12-13,,,na,s101443,non,20-01-14,03-04-16,SHS,unknown,Université de Lille,NA
4004,Abdourahmane Diouf,,Politique et esthetique dans l'oeuvre de John Steinbeck,Redouane Abouddahab,Abouddahab Redouane,120934663,Le Mans,26404435,Langues et linguistique,enCours,12-12-13,,,na,s101478,non,20-01-14,04-04-16,Langues et Litteratures,unknown,Le Mans Université,NA
4005,Hafiz naveed Shahzad,,Study of biological properties of human polyomaviruses early gene products,"Massimo Tommasino,Rosita Accardi","Tommasino Massimo,Accardi Rosita",na,Lyon 1,26402823,Physiologie et biologie des organismes - populations - interactions,enCours,19-10-09,11-07-13,2013.0,na,s101544,non,20-01-14,20-01-14,Biologie,male,Université Claude Bernard - Lyon 1,NA
4006,Driss Ait ouakrim,,"Colorectal Cancer Screening in Australia, what is the role of family history?","Philippe Autier,Jean-francois Dore","Autier Philippe,Dore Jean-francois",na,Lyon 1,26402823,Epidemiologie et sante publique,enCours,06-03-08,17-09-12,2012.0,na,s101550,non,20-01-14,20-01-14,Biologie,male,Université Claude Bernard - Lyon 1,NA
4007,Pierre Eyenga nsom ndille,,Fonction mitochondriale hepatique et diaphragmatique au cours du choc septique experimental chez le rat,Jean-paul Viale,Viale Jean-paul,na,Lyon 1,26402823,Psychologie,enCours,24-11-05,19-06-13,2013.0,na,s101568,non,20-01-14,20-01-14,Psychologie,male,Université Claude Bernard - Lyon 1,NA
4008,Laurie Chollier,,Modelisation biophysique de l'interaction des ions a hautes energies avec de la matiere vivante : application aux traitements de tumeurs par hadrontherapie,"Michael Beuve,Etienne Testa","Beuve Michael,Testa Etienne",na,Lyon 1,26402823,Physique medicale,enCours,20-10-09,01-10-12,2012.0,na,s101601,non,20-01-14,20-01-14,"Materiaux, Milieux et Chimie",female,Université Claude Bernard - Lyon 1,NA
4009,Dahua Zhou,,Croissance cristalline par la methode Czochralski de grenats mixtes et de CaYAIO dopes RE pour des applications lasers et la luminescence bleue dans le saphir dope titane,Kheirreddine Lebbou,Lebbou Kheirreddine,na,Lyon 1,26402823,Chimie des materiaux,enCours,09-01-13,09-12-14,2014.0,na,s101628,non,20-01-14,13-03-16,"Materiaux, Milieux et Chimie",unknown,Université Claude Bernard - Lyon 1,NA
4010,Claire Morvan,,Approche phylogenetique pour l'etude des patrons macroevolutifs et processus sous-jacents dans les eaux souterraines,Christophe Douady,Douady Christophe,na,Lyon 1,26402823,Physiologie et biologie des organismes - populations - interactions,enCours,16-09-10,10-12-13,2013.0,na,s101640,non,20-01-14,23-06-14,Biologie,female,Université Claude Bernard - Lyon 1,NA
4011,Said Jabrane,,"H-Principe, Visualisation et Applications","Vincent Borrelli,Francis Lazarus","Borrelli Vincent,Lazarus Francis",na,Lyon 1,26402823,Mathematiques,enCours,17-09-08,26-11-12,2012.0,na,s101666,non,20-01-14,20-01-14,MathÃ©matiques,male,Université Claude Bernard - Lyon 1,NA
4012,Benoit Rive,,Prise en compte des effets de types symptomatiques et etiologiques pour l'evaluation pharmaco-economique des traitements dans la maladie d'Alzheimer,Michel Lamure,Lamure Michel,na,Lyon 1,26402823,Methodes d'analyse des systemes de sante,enCours,02-12-08,22-11-12,2012.0,na,s101674,non,20-01-14,20-01-14,Biologie,unknown,Université Claude Bernard - Lyon 1,NA
4013,Guillaume Lio,,Separation aveugle de source en electroencephalographie : discours de la methode et applications a l'etude des fonctionnements et dysfonctionnements cerebraux,Philippe Boulinguez,Boulinguez Philippe,na,Lyon 1,26402823,Physiologie et biologie des organismes - populations - interactions,enCours,15-10-13,19-12-14,2014.0,na,s101775,non,20-01-14,24-08-15,Biologie,male,Université Claude Bernard - Lyon 1,NA
4014,Julien Camilleri,,"Developpement, validation et application terrain de methodes sensibles d'echantillonnage et d'analyse de perturbateurs endocriniens et composes pharmaceutiques dans des eaux de surface et des sediments",Cecile Cren-olive,Cren-olive Cecile,na,Lyon 1,26402823,Chimie,enCours,30-11-09,09-12-13,2013.0,na,s102001,non,20-01-14,23-06-14,"Materiaux, Milieux et Chimie",male,Université Claude Bernard - Lyon 1,NA
4015,Thi than nga Trinh,,Evaluation de l'activite antibacterienne d'huiles essentielles de plantes du Vietnam,Nadia Oulahal,Oulahal Nadia,na,Lyon 1,26402823,Biochimie,enCours,16-01-12,09-07-15,2015.0,na,s102058,non,20-01-14,01-11-15,Biologie,mostly_female,Université Claude Bernard - Lyon 1,NA
4016,Anne Nguyen,,"Modelisation de l'epidemiologie evolutive : exemple de la virulence du Trypanosome, agent de la maladie de Chagas, en environnement variable","Frederic Menu,Jorge Rabinovich,Dominique Pontier","Menu Frederic,Rabinovich Jorge,Pontier Dominique",na,Lyon 1,26402823,Physiologie et biologie des organismes - populations - interactions,enCours,14-09-10,30-01-15,2015.0,na,s102060,non,20-01-14,20-02-15,Biologie,female,Université Claude Bernard - Lyon 1,NA
4017,Jiawei Fan,,Search for new resonances in the diphoton final state in the mass range between 80 and 115 GeV in pp collisions at sqrt(s)=8 TeV,Susan Gascon-shotkin,Gascon-shotkin Susan,na,Lyon 1,26402823,Physique des particules,enCours,12-11-12,07-04-15,2015.0,na,s102090,non,20-01-14,04-10-15,"Materiaux, Milieux et Chimie",unknown,Université Claude Bernard - Lyon 1,NA
4018,Chuanhui Zhang,,"Preparation, caracterisation et mise en oeuvre ,de perovskyte LaMnO3 pour l'oxydation catalytique de chlorure de vinyle et du 1, 2-dichloropropane",Anne Giroir-fendler,Giroir-fendler Anne,na,Lyon 1,26402823,Chimie,enCours,28-09-11,31-03-14,2014.0,na,s102114,non,20-01-14,05-05-14,"Materiaux, Milieux et Chimie",unknown,Université Claude Bernard - Lyon 1,NA
